dataset_name,encoder_name,HL1_size,learning_rate,batch_size,random_state,epoch,epoch_loss,epoch_f1,mode,num_batches
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,11,0.30975367701970613,0.9430976166443065,Train,13
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,NA,0.5904992073774338,0.7826909226890697,Test,
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,12,0.2781374351336406,0.959337527649482,Train,13
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,NA,0.5922797590494155,0.7661327881117005,Test,
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,13,0.257757591513487,0.9615281795166445,Train,13
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,NA,0.6052314519882203,0.772687662136304,Test,
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,14,0.23635361515558684,0.9552851144703766,Train,13
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,NA,0.5950717329978943,0.7634676054038195,Test,
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,15,0.21804682681193718,0.956357731948556,Train,13
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,NA,0.5906171262264251,0.7723094143487162,Test,
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,16,0.20311247614713815,0.9627092780495486,Train,13
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,NA,0.6046195060014725,0.7529537114065832,Test,
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,17,0.18181716134914985,0.965713278589171,Train,13
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,NA,0.6086692541837693,0.7548520447843061,Test,
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,NA,0.6073797076940537,0.7580834859119112,Test,
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,1,0.9828896614221426,0.43008399561136423,Train,13
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,NA,0.939514547586441,0.5118002846498809,Test,
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,2,0.8555239255611713,0.6239748528483345,Train,13
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,NA,0.9040374219417572,0.6472304887911643,Test,
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,3,0.7944725935275738,0.7480532841113581,Train,13
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,NA,0.8632250547409057,0.6801586002680202,Test,
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,4,0.735536630337055,0.8055828111830773,Train,13
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,NA,0.8242717325687409,0.6971038397935327,Test,
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,5,0.6732306067760174,0.8304032986359754,Train,13
Fi_ATSA_train,ProsusAI-finbert,10,0.001,50,0,NA,0.7900477766990661,0.7224654356755171,Test,
