Dataset: Fi_ATSA 
Encoder_name: ProsusAI-finbert 
Feature_type: first
Batch_size: 50
Train mode: Epoch 1, loss 1.0331150037901742, f1 0.31565028054905003
Validation mode: Epoch 1, loss 0.9960039456685384, f1 0.4456117239093153
Train mode: Epoch 2, loss 0.9223060579526992, f1 0.43873782032814007
Validation mode: Epoch 2, loss 0.9507830209202237, f1 0.5070957994884897
Train mode: Epoch 3, loss 0.8550597741490319, f1 0.5213862765586903
Validation mode: Epoch 3, loss 0.916697707441118, f1 0.521346752139591
Train mode: Epoch 4, loss 0.8082612128484816, f1 0.5666933681805387
Validation mode: Epoch 4, loss 0.8983325295978122, f1 0.5326735343852769
Train mode: Epoch 5, loss 0.7766659203029814, f1 0.5815343772882814
Validation mode: Epoch 5, loss 0.8961901598506503, f1 0.543074378357215
Train mode: Epoch 6, loss 0.7428165333611625, f1 0.6200699516912328
Validation mode: Epoch 6, loss 0.8729004661242167, f1 0.5473341485923645
Train mode: Epoch 7, loss 0.724526489064807, f1 0.6307573420731315
Validation mode: Epoch 7, loss 0.8725489245520698, f1 0.5629324848218857
Train mode: Epoch 8, loss 0.7024884053639003, f1 0.6474492189387148
Validation mode: Epoch 8, loss 0.8666871984799703, f1 0.5742497061345904
Train mode: Epoch 9, loss 0.6895557854856763, f1 0.6695559867900922
Validation mode: Epoch 9, loss 0.8561538126733568, f1 0.5587832933501158
Train mode: Epoch 10, loss 0.6721570704664502, f1 0.6700675705911308
Validation mode: Epoch 10, loss 0.8492266138394674, f1 0.5904504902434423
Train mode: Epoch 11, loss 0.6543772248994737, f1 0.6915678768686809
Validation mode: Epoch 11, loss 0.8520843850241767, f1 0.599763698640103
Train mode: Epoch 12, loss 0.6464805759134746, f1 0.6799128241387932
Validation mode: Epoch 12, loss 0.8418208228217231, f1 0.6023934969319321
Train mode: Epoch 13, loss 0.632041912703287, f1 0.6922063145580095
Validation mode: Epoch 13, loss 0.8518261578347948, f1 0.6029779018337371
Train mode: Epoch 14, loss 0.6206726488612947, f1 0.6983859215949216
Validation mode: Epoch 14, loss 0.8462763163778517, f1 0.6013533416685969
Train mode: Epoch 15, loss 0.619025027468091, f1 0.702418162841623
Validation mode: Epoch 15, loss 0.8428992629051208, f1 0.6065768920896429
Train mode: Epoch 16, loss 0.6066072143259502, f1 0.7227445797900867
Validation mode: Epoch 16, loss 0.828513867325253, f1 0.5993697669742075
Train mode: Epoch 17, loss 0.6018255409740266, f1 0.7198560441404602
Validation mode: Epoch 17, loss 0.83563232421875, f1 0.610680810015873
Train mode: Epoch 18, loss 0.5901017189025879, f1 0.7364874518713971
Validation mode: Epoch 18, loss 0.8376855651537577, f1 0.621790683699353
Train mode: Epoch 19, loss 0.5848811197848547, f1 0.7244219501184709
Validation mode: Epoch 19, loss 0.8193530374103122, f1 0.6300522980405456
Train mode: Epoch 20, loss 0.5712653951985496, f1 0.7414324779933791
Validation mode: Epoch 20, loss 0.8285701274871826, f1 0.6073501609141593
