Dataset: Fi_ATSA 
Encoder_name: ProsusAI-finbert 
Feature_type: cls
Batch_size: 50
Train mode: Epoch 1, loss 0.7133379635356721, f1 0.6152626358193214
Validation mode: Epoch 1, loss 0.6108603709273868, f1 0.7154401952521421
Train mode: Epoch 2, loss 0.6079107182366508, f1 0.6989113445058418
Validation mode: Epoch 2, loss 0.5919175148010254, f1 0.7258123482581446
Train mode: Epoch 3, loss 0.5792076005822137, f1 0.7214881878821086
Validation mode: Epoch 3, loss 0.5780987739562988, f1 0.7485975366973961
Train mode: Epoch 4, loss 0.5497341269538516, f1 0.7462384711564017
Validation mode: Epoch 4, loss 0.5689079794618819, f1 0.7368187432337114
Train mode: Epoch 5, loss 0.5339562013035729, f1 0.7644777169264829
Validation mode: Epoch 5, loss 0.5546267728010813, f1 0.7470800393050158
Train mode: Epoch 6, loss 0.5171628097693125, f1 0.7748328544120032
Validation mode: Epoch 6, loss 0.5465369555685256, f1 0.7517820927062727
Train mode: Epoch 7, loss 0.5114820031892686, f1 0.7817016377416892
Validation mode: Epoch 7, loss 0.5434345371193356, f1 0.7558323705284086
Train mode: Epoch 8, loss 0.49379449373199824, f1 0.7927750768655829
Validation mode: Epoch 8, loss 0.5368348691198561, f1 0.7448243097758634
Train mode: Epoch 9, loss 0.48185634045373826, f1 0.7997023821229988
Validation mode: Epoch 9, loss 0.5363800227642059, f1 0.7523975927004466
Train mode: Epoch 10, loss 0.4739655369804019, f1 0.8049876680338981
Validation mode: Epoch 10, loss 0.5293080343140496, f1 0.7582623014820339
Train mode: Epoch 11, loss 0.4687788500672295, f1 0.8080588766072637
Validation mode: Epoch 11, loss 0.5250576999452379, f1 0.7691800918720388
Train mode: Epoch 12, loss 0.46110492660885766, f1 0.8058022771503301
Validation mode: Epoch 12, loss 0.5240936511092715, f1 0.7556339615983888
Train mode: Epoch 13, loss 0.4581699811276935, f1 0.8079290298186974
Validation mode: Epoch 13, loss 0.521024614572525, f1 0.7591063139008344
Train mode: Epoch 14, loss 0.4516798570042565, f1 0.8147772180030244
Validation mode: Epoch 14, loss 0.5172968175676134, f1 0.7845820760738058
Train mode: Epoch 15, loss 0.4490699739683242, f1 0.8073339513824057
Validation mode: Epoch 15, loss 0.5129206048117744, f1 0.7792477209219496
Train mode: Epoch 16, loss 0.4382310516777493, f1 0.8129755758115221
Validation mode: Epoch 16, loss 0.5235862169000838, f1 0.7740709670772808
Train mode: Epoch 17, loss 0.4318884341489701, f1 0.8267584069577941
Validation mode: Epoch 17, loss 0.5129705766836802, f1 0.7867678677655988
Train mode: Epoch 18, loss 0.4321796865690322, f1 0.8272636815078253
Validation mode: Epoch 18, loss 0.5117563605308533, f1 0.7820857175032607
Train mode: Epoch 19, loss 0.41922313826424734, f1 0.8237099273630498
Validation mode: Epoch 19, loss 0.5084934896892972, f1 0.7861305085564995
Train mode: Epoch 20, loss 0.4262731472651164, f1 0.825442274228736
Validation mode: Epoch 20, loss 0.5059621963236067, f1 0.7902315845103428
