Dataset: Fi_ATSA 
Encoder_name: ProsusAI-finbert 
Feature_type: first
Batch_size: 50
Train mode: Epoch 1, loss 1.033078480334509, f1 0.33279436692690073
Validation mode: Epoch 1, loss 0.9717264042960273, f1 0.36035023764821567
Train mode: Epoch 2, loss 0.9416646843864804, f1 0.4133159010823612
Validation mode: Epoch 2, loss 0.9081479443444146, f1 0.44520400848511454
Train mode: Epoch 3, loss 0.8862491789318266, f1 0.4851218940505107
Validation mode: Epoch 3, loss 0.8756072719891866, f1 0.4788392922721281
Train mode: Epoch 4, loss 0.8395588114148095, f1 0.5464721777551931
Validation mode: Epoch 4, loss 0.8544387618700663, f1 0.498203716983814
Train mode: Epoch 5, loss 0.8133356798262823, f1 0.5714811075506391
Validation mode: Epoch 5, loss 0.8274474408891466, f1 0.5563849530633744
Train mode: Epoch 6, loss 0.7769382737931751, f1 0.6178924073012803
Validation mode: Epoch 6, loss 0.8209889597362943, f1 0.5413844121456242
Train mode: Epoch 7, loss 0.7604918621835255, f1 0.6160379157467916
Validation mode: Epoch 7, loss 0.8046756784121195, f1 0.5553102129867336
Train mode: Epoch 8, loss 0.7383650172324407, f1 0.6520927598038235
Validation mode: Epoch 8, loss 0.7979371945063273, f1 0.5657305832593313
Train mode: Epoch 9, loss 0.7230536540349325, f1 0.6588227131545071
Validation mode: Epoch 9, loss 0.7872539824909635, f1 0.5778004151795819
Train mode: Epoch 10, loss 0.700443602743603, f1 0.6885168778882386
Validation mode: Epoch 10, loss 0.7730334798494974, f1 0.5770426519985915
Train mode: Epoch 11, loss 0.6907324904487246, f1 0.6918284985399167
Validation mode: Epoch 11, loss 0.7621183196703593, f1 0.5857585781660575
Train mode: Epoch 12, loss 0.6737974569911048, f1 0.6985764965929923
Validation mode: Epoch 12, loss 0.7525569001833597, f1 0.5914374730539896
Train mode: Epoch 13, loss 0.6702373708997454, f1 0.696856566904484
Validation mode: Epoch 13, loss 0.7506261070569357, f1 0.5806746700768467
Train mode: Epoch 14, loss 0.6561629119373503, f1 0.7135348622745288
Validation mode: Epoch 14, loss 0.7525003221299913, f1 0.6006991654230918
Train mode: Epoch 15, loss 0.6508779639289493, f1 0.7105242751278329
Validation mode: Epoch 15, loss 0.7524721887376573, f1 0.5967348927875243
Train mode: Epoch 16, loss 0.6376913416953314, f1 0.719106538577222
Validation mode: Epoch 16, loss 0.7434598075018989, f1 0.5932333624490527
Train mode: Epoch 17, loss 0.6345295040380388, f1 0.7190360803631212
Validation mode: Epoch 17, loss 0.7398709853490194, f1 0.6161465690106569
Train mode: Epoch 18, loss 0.6288640030792781, f1 0.7368643335038568
Validation mode: Epoch 18, loss 0.7433320879936218, f1 0.6220891716364619
Train mode: Epoch 19, loss 0.6141960308665321, f1 0.7460509995622085
Validation mode: Epoch 19, loss 0.7257260349061754, f1 0.6268571237983412
Train mode: Epoch 20, loss 0.6160334050655365, f1 0.7293018682399213
Validation mode: Epoch 20, loss 0.7231701612472534, f1 0.6229666461601533
