Dataset: Fi_ATSA 
Encoder_name: ProsusAI-finbert 
Feature_type: cls_last
Batch_size: 50
Train mode: Epoch 1, loss 0.7397379080454508, f1 0.6298958152991253
Validation mode: Epoch 1, loss 0.6210416621632047, f1 0.6762968037652882
Train mode: Epoch 2, loss 0.6105665493579138, f1 0.7110482188363166
Validation mode: Epoch 2, loss 0.5773950550291274, f1 0.7316912831198544
Train mode: Epoch 3, loss 0.5640721533979688, f1 0.7375193434696937
Validation mode: Epoch 3, loss 0.5613463918368021, f1 0.7175015689872097
Train mode: Epoch 4, loss 0.5290409170445942, f1 0.7592825186399601
Validation mode: Epoch 4, loss 0.536660631497701, f1 0.7236296644022864
Train mode: Epoch 5, loss 0.4962380273001535, f1 0.7801346935100293
Validation mode: Epoch 5, loss 0.5251615477932824, f1 0.7538025955087567
Train mode: Epoch 6, loss 0.4785277190662566, f1 0.792601533489567
Validation mode: Epoch 6, loss 0.5104231668843163, f1 0.7567060067307819
Train mode: Epoch 7, loss 0.4545957048734029, f1 0.8032980413999681
Validation mode: Epoch 7, loss 0.49836907784144086, f1 0.7679944802899962
Train mode: Epoch 8, loss 0.44268759801274254, f1 0.8200359713594404
Validation mode: Epoch 8, loss 0.4928557011816237, f1 0.769974767891129
Train mode: Epoch 9, loss 0.42505780571982976, f1 0.8273004323535287
Validation mode: Epoch 9, loss 0.48285458154148525, f1 0.7863354732397999
Train mode: Epoch 10, loss 0.4133851130803426, f1 0.8368018277759441
Validation mode: Epoch 10, loss 0.473382787572013, f1 0.7935363469249918
Train mode: Epoch 11, loss 0.40279346846398856, f1 0.8462388413216391
Validation mode: Epoch 11, loss 0.4661667479409112, f1 0.7969800453964998
Train mode: Epoch 12, loss 0.392216892469497, f1 0.8567944788762912
Validation mode: Epoch 12, loss 0.45519594020313686, f1 0.8141483291144641
Train mode: Epoch 13, loss 0.38751502831776935, f1 0.843814359190056
Validation mode: Epoch 13, loss 0.4491937392287784, f1 0.7992920590396047
Train mode: Epoch 14, loss 0.3686750446047102, f1 0.8657419210863707
Validation mode: Epoch 14, loss 0.4475291834937202, f1 0.8195855812993168
Train mode: Epoch 15, loss 0.3631544155733926, f1 0.8658177890826874
Validation mode: Epoch 15, loss 0.44360435009002686, f1 0.815956717027792
Train mode: Epoch 16, loss 0.3558606675692967, f1 0.8755544654131682
Validation mode: Epoch 16, loss 0.4364122251669566, f1 0.8218468547882508
Train mode: Epoch 17, loss 0.3501439718973069, f1 0.8710803549373015
Validation mode: Epoch 17, loss 0.437229851881663, f1 0.819126589275843
Train mode: Epoch 18, loss 0.33888421597934903, f1 0.8826808004420417
Validation mode: Epoch 18, loss 0.4302494525909424, f1 0.8384051249683081
Train mode: Epoch 19, loss 0.3355700721343358, f1 0.8860510124821775
Validation mode: Epoch 19, loss 0.4308358000384437, f1 0.8243062726278311
Train mode: Epoch 20, loss 0.33191165186109994, f1 0.8838748417369157
Validation mode: Epoch 20, loss 0.42177903321054244, f1 0.8279820686652012
